0,1,2,3,4,5,6
1334710856735551488,"User(_api=<tweepy.api.API object at 0x0000029E9CB01DF0>, _json={'id': 1017343763033624576, 'id_str': '1017343763033624576', 'name': 'Homonculus', 'screen_name': 'cakciduk', 'location': 'Warkop Cicik', 'description': 'Are you lost, baby girl?', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 249, 'friends_count': 294, 'listed_count': 1, 'created_at': 'Thu Jul 12 09:43:49 +0000 2018', 'favourites_count': 1358, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 36991, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1333028465247862791/naRfE5uP_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1333028465247862791/naRfE5uP_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1017343763033624576/1592304933', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}, id=1017343763033624576, id_str='1017343763033624576', name='Homonculus', screen_name='cakciduk', location='Warkop Cicik', description='Are you lost, baby girl?', url=None, entities={'description': {'urls': []}}, protected=False, followers_count=249, friends_count=294, listed_count=1, created_at=datetime.datetime(2018, 7, 12, 9, 43, 49), favourites_count=1358, utc_offset=None, time_zone=None, geo_enabled=True, verified=False, statuses_count=36991, lang=None, contributors_enabled=False, is_translator=False, is_translation_enabled=False, profile_background_color='F5F8FA', profile_background_image_url=None, profile_background_image_url_https=None, profile_background_tile=False, profile_image_url='http://pbs.twimg.com/profile_images/1333028465247862791/naRfE5uP_normal.jpg', profile_image_url_https='https://pbs.twimg.com/profile_images/1333028465247862791/naRfE5uP_normal.jpg', profile_banner_url='https://pbs.twimg.com/profile_banners/1017343763033624576/1592304933', profile_link_color='1DA1F2', profile_sidebar_border_color='C0DEED', profile_sidebar_fill_color='DDEEF6', profile_text_color='333333', profile_use_background_image=True, has_extended_profile=True, default_profile=True, default_profile_image=False, following=False, follow_request_sent=False, notifications=False, translator_type='none')",RT @hermansaksono: But what about the economy?,249,0,88,2020-12-04 04:07:20
1334710854663598081,"User(_api=<tweepy.api.API object at 0x0000029E9CB01DF0>, _json={'id': 1333359927629209600, 'id_str': '1333359927629209600', 'name': 'Akshath', 'screen_name': 'Akshath85518630', 'location': '', 'description': '', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 1, 'friends_count': 92, 'listed_count': 0, 'created_at': 'Mon Nov 30 10:39:23 +0000 2020', 'favourites_count': 0, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 1, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'profile_image_url_https': 'https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': True, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}, id=1333359927629209600, id_str='1333359927629209600', name='Akshath', screen_name='Akshath85518630', location='', description='', url=None, entities={'description': {'urls': []}}, protected=False, followers_count=1, friends_count=92, listed_count=0, created_at=datetime.datetime(2020, 11, 30, 10, 39, 23), favourites_count=0, utc_offset=None, time_zone=None, geo_enabled=False, verified=False, statuses_count=1, lang=None, contributors_enabled=False, is_translator=False, is_translation_enabled=False, profile_background_color='F5F8FA', profile_background_image_url=None, profile_background_image_url_https=None, profile_background_tile=False, profile_image_url='http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', profile_image_url_https='https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', profile_link_color='1DA1F2', profile_sidebar_border_color='C0DEED', profile_sidebar_fill_color='DDEEF6', profile_text_color='333333', profile_use_background_image=True, has_extended_profile=True, default_profile=True, default_profile_image=True, following=False, follow_request_sent=False, notifications=False, translator_type='none')",@DrRPNishank @narendramodi @AmitShah @PMOIndia @HMOIndia @transformIndia @MIB_India @PIB_India @DDNewslive… https://t.co/Era2tln1y8,1,0,0,2020-12-04 04:07:20
1334710854399377416,"User(_api=<tweepy.api.API object at 0x0000029E9CB01DF0>, _json={'id': 23694216, 'id_str': '23694216', 'name': 'Jeremy Cowles', 'screen_name': 'MoldyMagnet', 'location': 'Berkeley, CA', 'description': 'ML graphics lead at @unity3d. Past: Xoogler, @TiltBrush tech lead. Pixar GPU team lead: real time rendering (Hydra), @openusd, @opensubdiv. Closet demoscener.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 3640, 'friends_count': 1025, 'listed_count': 171, 'created_at': 'Wed Mar 11 00:54:50 +0000 2009', 'favourites_count': 23840, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 9826, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '1A1B1F', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/935734499039735808/Aw705Gbi_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/935734499039735808/Aw705Gbi_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/23694216/1471714729', 'profile_link_color': '2FC2EF', 'profile_sidebar_border_color': '181A1E', 'profile_sidebar_fill_color': '252429', 'profile_text_color': '666666', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}, id=23694216, id_str='23694216', name='Jeremy Cowles', screen_name='MoldyMagnet', location='Berkeley, CA', description='ML graphics lead at @unity3d. Past: Xoogler, @TiltBrush tech lead. Pixar GPU team lead: real time rendering (Hydra), @openusd, @opensubdiv. Closet demoscener.', url=None, entities={'description': {'urls': []}}, protected=False, followers_count=3640, friends_count=1025, listed_count=171, created_at=datetime.datetime(2009, 3, 11, 0, 54, 50), favourites_count=23840, utc_offset=None, time_zone=None, geo_enabled=True, verified=False, statuses_count=9826, lang=None, contributors_enabled=False, is_translator=False, is_translation_enabled=False, profile_background_color='1A1B1F', profile_background_image_url='http://abs.twimg.com/images/themes/theme9/bg.gif', profile_background_image_url_https='https://abs.twimg.com/images/themes/theme9/bg.gif', profile_background_tile=False, profile_image_url='http://pbs.twimg.com/profile_images/935734499039735808/Aw705Gbi_normal.jpg', profile_image_url_https='https://pbs.twimg.com/profile_images/935734499039735808/Aw705Gbi_normal.jpg', profile_banner_url='https://pbs.twimg.com/profile_banners/23694216/1471714729', profile_link_color='2FC2EF', profile_sidebar_border_color='181A1E', profile_sidebar_fill_color='252429', profile_text_color='666666', profile_use_background_image=True, has_extended_profile=False, default_profile=False, default_profile_image=False, following=False, follow_request_sent=False, notifications=False, translator_type='none')",RT @TheAnimator: I feel like the zombie outbreak games I’ve played were too optimistic about human collaboration and desire for survival af…,3640,0,1,2020-12-04 04:07:20
1334710854361567232,"User(_api=<tweepy.api.API object at 0x0000029E9CB01DF0>, _json={'id': 96723147, 'id_str': '96723147', 'name': 'Yolanda', 'screen_name': 'JesyQ', 'location': 'USA', 'description': 'A Mom, RN, advocate for social justice. Democrat. Avid reader, love politics, all the Arts ie music & humor!', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 1412, 'friends_count': 1206, 'listed_count': 23, 'created_at': 'Mon Dec 14 08:30:28 +0000 2009', 'favourites_count': 248810, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 30862, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/649474252287021058/P7wPHJfL_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/649474252287021058/P7wPHJfL_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}, id=96723147, id_str='96723147', name='Yolanda', screen_name='JesyQ', location='USA', description='A Mom, RN, advocate for social justice. Democrat. Avid reader, love politics, all the Arts ie music & humor!', url=None, entities={'description': {'urls': []}}, protected=False, followers_count=1412, friends_count=1206, listed_count=23, created_at=datetime.datetime(2009, 12, 14, 8, 30, 28), favourites_count=248810, utc_offset=None, time_zone=None, geo_enabled=False, verified=False, statuses_count=30862, lang=None, contributors_enabled=False, is_translator=False, is_translation_enabled=False, profile_background_color='C0DEED', profile_background_image_url='http://abs.twimg.com/images/themes/theme1/bg.png', profile_background_image_url_https='https://abs.twimg.com/images/themes/theme1/bg.png', profile_background_tile=False, profile_image_url='http://pbs.twimg.com/profile_images/649474252287021058/P7wPHJfL_normal.jpg', profile_image_url_https='https://pbs.twimg.com/profile_images/649474252287021058/P7wPHJfL_normal.jpg', profile_link_color='1DA1F2', profile_sidebar_border_color='C0DEED', profile_sidebar_fill_color='DDEEF6', profile_text_color='333333', profile_use_background_image=True, has_extended_profile=False, default_profile=True, default_profile_image=False, following=False, follow_request_sent=False, notifications=False, translator_type='none')",@MissyDemeanor29 @TheRealJohnHCox I don't disagree with your point. But one time is forgivable IMO. It didn't make… https://t.co/p1mBNwljGS,1412,0,0,2020-12-04 04:07:20
1334710854323867648,"User(_api=<tweepy.api.API object at 0x0000029E9CB01DF0>, _json={'id': 20195838, 'id_str': '20195838', 'name': 'bridgette bianca', 'screen_name': 'thebridgebianca', 'location': '', 'description': 'she/her 💛 poet & professor 👩🏾\u200d🏫 be/trouble, Writ Large 2/15 📚bridgettebianca on IG📲 ft on KCRW/NPR 💜 Young, Black, & Tenure-Track #YBTT ❤️💙 Howard Alum', 'url': 'https://t.co/K1Bawpnt2P', 'entities': {'url': {'urls': [{'url': 'https://t.co/K1Bawpnt2P', 'expanded_url': 'http://bridgettebianca.com/iglinks', 'display_url': 'bridgettebianca.com/iglinks', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 1100, 'friends_count': 1940, 'listed_count': 48, 'created_at': 'Thu Feb 05 22:22:39 +0000 2009', 'favourites_count': 151817, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 143500, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme10/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme10/bg.gif', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1325371645171695617/3j7EH7wA_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1325371645171695617/3j7EH7wA_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/20195838/1561023557', 'profile_link_color': 'F58EA8', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'FFFFFF', 'profile_text_color': 'F07680', 'profile_use_background_image': False, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}, id=20195838, id_str='20195838', name='bridgette bianca', screen_name='thebridgebianca', location='', description='she/her 💛 poet & professor 👩🏾\u200d🏫 be/trouble, Writ Large 2/15 📚bridgettebianca on IG📲 ft on KCRW/NPR 💜 Young, Black, & Tenure-Track #YBTT ❤️💙 Howard Alum', url='https://t.co/K1Bawpnt2P', entities={'url': {'urls': [{'url': 'https://t.co/K1Bawpnt2P', 'expanded_url': 'http://bridgettebianca.com/iglinks', 'display_url': 'bridgettebianca.com/iglinks', 'indices': [0, 23]}]}, 'description': {'urls': []}}, protected=False, followers_count=1100, friends_count=1940, listed_count=48, created_at=datetime.datetime(2009, 2, 5, 22, 22, 39), favourites_count=151817, utc_offset=None, time_zone=None, geo_enabled=False, verified=False, statuses_count=143500, lang=None, contributors_enabled=False, is_translator=False, is_translation_enabled=False, profile_background_color='000000', profile_background_image_url='http://abs.twimg.com/images/themes/theme10/bg.gif', profile_background_image_url_https='https://abs.twimg.com/images/themes/theme10/bg.gif', profile_background_tile=True, profile_image_url='http://pbs.twimg.com/profile_images/1325371645171695617/3j7EH7wA_normal.jpg', profile_image_url_https='https://pbs.twimg.com/profile_images/1325371645171695617/3j7EH7wA_normal.jpg', profile_banner_url='https://pbs.twimg.com/profile_banners/20195838/1561023557', profile_link_color='F58EA8', profile_sidebar_border_color='000000', profile_sidebar_fill_color='FFFFFF', profile_text_color='F07680', profile_use_background_image=False, has_extended_profile=True, default_profile=False, default_profile_image=False, following=False, follow_request_sent=False, notifications=False, translator_type='none')","RT @CharlesMBlow: Ma’am, the original inhabitants of this land were decimated by disease brought here by peasants from Europe, betrayed in…",1100,0,72,2020-12-04 04:07:20
1334710854139383809,"User(_api=<tweepy.api.API object at 0x0000029E9CB01DF0>, _json={'id': 4862582645, 'id_str': '4862582645', 'name': 'BENEFITS NEWS', 'screen_name': 'BENEFITS_NEWS', 'location': 'United Kingdom', 'description': ""'Austerity' Has Hit The Vulnerable The Hardest. We Rant At Gov. Because We See What Harm Their Policies Are Causing - Reality! We See Corbyn As Compassionate!"", 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 19256, 'friends_count': 9522, 'listed_count': 173, 'created_at': 'Sat Jan 30 04:14:49 +0000 2016', 'favourites_count': 91719, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 341793, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'ACDED6', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme18/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme18/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1140955742972928000/Y3H_EmmW_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1140955742972928000/Y3H_EmmW_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/4862582645/1495210391', 'profile_link_color': 'E81C4F', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}, id=4862582645, id_str='4862582645', name='BENEFITS NEWS', screen_name='BENEFITS_NEWS', location='United Kingdom', description=""'Austerity' Has Hit The Vulnerable The Hardest. We Rant At Gov. Because We See What Harm Their Policies Are Causing - Reality! We See Corbyn As Compassionate!"", url=None, entities={'description': {'urls': []}}, protected=False, followers_count=19256, friends_count=9522, listed_count=173, created_at=datetime.datetime(2016, 1, 30, 4, 14, 49), favourites_count=91719, utc_offset=None, time_zone=None, geo_enabled=False, verified=False, statuses_count=341793, lang=None, contributors_enabled=False, is_translator=False, is_translation_enabled=False, profile_background_color='ACDED6', profile_background_image_url='http://abs.twimg.com/images/themes/theme18/bg.gif', profile_background_image_url_https='https://abs.twimg.com/images/themes/theme18/bg.gif', profile_background_tile=False, profile_image_url='http://pbs.twimg.com/profile_images/1140955742972928000/Y3H_EmmW_normal.png', profile_image_url_https='https://pbs.twimg.com/profile_images/1140955742972928000/Y3H_EmmW_normal.png', profile_banner_url='https://pbs.twimg.com/profile_banners/4862582645/1495210391', profile_link_color='E81C4F', profile_sidebar_border_color='000000', profile_sidebar_fill_color='000000', profile_text_color='000000', profile_use_background_image=True, has_extended_profile=False, default_profile=False, default_profile_image=False, following=False, follow_request_sent=False, notifications=False, translator_type='none')","RT @BENEFITS_NEWS: @NAOorguk The economy is no grounds to harm or kill hundreds thousands!
You are mentioned in this - we remind.
Who is go…",19256,0,1,2020-12-04 04:07:20
1334710854118301698,"User(_api=<tweepy.api.API object at 0x0000029E9CB01DF0>, _json={'id': 962363034332114944, 'id_str': '962363034332114944', 'name': '血兽荡', 'screen_name': 'rRiT5D2GE2p1xo1', 'location': '', 'description': '', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 18, 'friends_count': 120, 'listed_count': 0, 'created_at': 'Sat Feb 10 16:30:02 +0000 2018', 'favourites_count': 14612, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 985, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1266052836023922691/FY5fcWHA_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1266052836023922691/FY5fcWHA_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}, id=962363034332114944, id_str='962363034332114944', name='血兽荡', screen_name='rRiT5D2GE2p1xo1', location='', description='', url=None, entities={'description': {'urls': []}}, protected=False, followers_count=18, friends_count=120, listed_count=0, created_at=datetime.datetime(2018, 2, 10, 16, 30, 2), favourites_count=14612, utc_offset=None, time_zone=None, geo_enabled=False, verified=False, statuses_count=985, lang=None, contributors_enabled=False, is_translator=False, is_translation_enabled=False, profile_background_color='F5F8FA', profile_background_image_url=None, profile_background_image_url_https=None, profile_background_tile=False, profile_image_url='http://pbs.twimg.com/profile_images/1266052836023922691/FY5fcWHA_normal.jpg', profile_image_url_https='https://pbs.twimg.com/profile_images/1266052836023922691/FY5fcWHA_normal.jpg', profile_link_color='1DA1F2', profile_sidebar_border_color='C0DEED', profile_sidebar_fill_color='DDEEF6', profile_text_color='333333', profile_use_background_image=True, has_extended_profile=False, default_profile=True, default_profile_image=False, following=False, follow_request_sent=False, notifications=False, translator_type='none')","RT @DrLiMengYAN1: On 2nd Dec:
""Tucker Carlson Tonight"" interviewed a Chinese virologist, Dr. Li-Meng Yan, who fled her country with this me…",18,0,183,2020-12-04 04:07:20
1334710853946499075,"User(_api=<tweepy.api.API object at 0x0000029E9CB01DF0>, _json={'id': 1305925952850014208, 'id_str': '1305925952850014208', 'name': 'Hans', 'screen_name': 'Hans03972251', 'location': '', 'description': '', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 12, 'friends_count': 23, 'listed_count': 0, 'created_at': 'Tue Sep 15 17:46:34 +0000 2020', 'favourites_count': 135, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 114, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1305926262406426624/dzqq8bKs_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1305926262406426624/dzqq8bKs_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}, id=1305925952850014208, id_str='1305925952850014208', name='Hans', screen_name='Hans03972251', location='', description='', url=None, entities={'description': {'urls': []}}, protected=False, followers_count=12, friends_count=23, listed_count=0, created_at=datetime.datetime(2020, 9, 15, 17, 46, 34), favourites_count=135, utc_offset=None, time_zone=None, geo_enabled=False, verified=False, statuses_count=114, lang=None, contributors_enabled=False, is_translator=False, is_translation_enabled=False, profile_background_color='F5F8FA', profile_background_image_url=None, profile_background_image_url_https=None, profile_background_tile=False, profile_image_url='http://pbs.twimg.com/profile_images/1305926262406426624/dzqq8bKs_normal.jpg', profile_image_url_https='https://pbs.twimg.com/profile_images/1305926262406426624/dzqq8bKs_normal.jpg', profile_link_color='1DA1F2', profile_sidebar_border_color='C0DEED', profile_sidebar_fill_color='DDEEF6', profile_text_color='333333', profile_use_background_image=True, has_extended_profile=True, default_profile=True, default_profile_image=False, following=False, follow_request_sent=False, notifications=False, translator_type='none')","RT @MedicalStonks: What in the hell is the FDA waiting for!?!? Give #aviptadil EUA now!!! 

https://t.co/ZVbotFfzQO https://t.co/dxVW32eStQ",12,0,2,2020-12-04 04:07:19
1334710853929639936,"User(_api=<tweepy.api.API object at 0x0000029E9CB01DF0>, _json={'id': 1268789089119031298, 'id_str': '1268789089119031298', 'name': 'Susan', 'screen_name': 'Susan_forDan', 'location': 'Victoria, Australia', 'description': 'Proud Victorian.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 238, 'friends_count': 393, 'listed_count': 2, 'created_at': 'Fri Jun 05 06:18:30 +0000 2020', 'favourites_count': 32105, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 16860, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1322291813835698176/NJX_jgNr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1322291813835698176/NJX_jgNr_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}, id=1268789089119031298, id_str='1268789089119031298', name='Susan', screen_name='Susan_forDan', location='Victoria, Australia', description='Proud Victorian.', url=None, entities={'description': {'urls': []}}, protected=False, followers_count=238, friends_count=393, listed_count=2, created_at=datetime.datetime(2020, 6, 5, 6, 18, 30), favourites_count=32105, utc_offset=None, time_zone=None, geo_enabled=False, verified=False, statuses_count=16860, lang=None, contributors_enabled=False, is_translator=False, is_translation_enabled=False, profile_background_color='F5F8FA', profile_background_image_url=None, profile_background_image_url_https=None, profile_background_tile=False, profile_image_url='http://pbs.twimg.com/profile_images/1322291813835698176/NJX_jgNr_normal.jpg', profile_image_url_https='https://pbs.twimg.com/profile_images/1322291813835698176/NJX_jgNr_normal.jpg', profile_link_color='1DA1F2', profile_sidebar_border_color='C0DEED', profile_sidebar_fill_color='DDEEF6', profile_text_color='333333', profile_use_background_image=True, has_extended_profile=False, default_profile=True, default_profile_image=False, following=False, follow_request_sent=False, notifications=False, translator_type='none')",RT @AlanBixter: The USA has reported 2760 covid deaths in the last 24 hours.,238,0,20,2020-12-04 04:07:19
1334710853862486017,"User(_api=<tweepy.api.API object at 0x0000029E9CB01DF0>, _json={'id': 1068082004783128576, 'id_str': '1068082004783128576', 'name': 'Munna Singh', 'screen_name': 'iamthanedar', 'location': 'New Delhi, India', 'description': 'इंसानियत् मेरा धर्म, संविधान मेरा धर्म ग्रन्थ', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 188, 'friends_count': 31, 'listed_count': 0, 'created_at': 'Thu Nov 29 09:59:28 +0000 2018', 'favourites_count': 148429, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 4207, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1150082780069429248/PHDpHlQz_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1150082780069429248/PHDpHlQz_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1068082004783128576/1563036073', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}, id=1068082004783128576, id_str='1068082004783128576', name='Munna Singh', screen_name='iamthanedar', location='New Delhi, India', description='इंसानियत् मेरा धर्म, संविधान मेरा धर्म ग्रन्थ', url=None, entities={'description': {'urls': []}}, protected=False, followers_count=188, friends_count=31, listed_count=0, created_at=datetime.datetime(2018, 11, 29, 9, 59, 28), favourites_count=148429, utc_offset=None, time_zone=None, geo_enabled=True, verified=False, statuses_count=4207, lang=None, contributors_enabled=False, is_translator=False, is_translation_enabled=False, profile_background_color='F5F8FA', profile_background_image_url=None, profile_background_image_url_https=None, profile_background_tile=False, profile_image_url='http://pbs.twimg.com/profile_images/1150082780069429248/PHDpHlQz_normal.jpg', profile_image_url_https='https://pbs.twimg.com/profile_images/1150082780069429248/PHDpHlQz_normal.jpg', profile_banner_url='https://pbs.twimg.com/profile_banners/1068082004783128576/1563036073', profile_link_color='1DA1F2', profile_sidebar_border_color='C0DEED', profile_sidebar_fill_color='DDEEF6', profile_text_color='333333', profile_use_background_image=True, has_extended_profile=True, default_profile=True, default_profile_image=False, following=False, follow_request_sent=False, notifications=False, translator_type='none')","RT @RahulGandhi: In today's all-party meeting, we hope the PM clarifies by when will every Indian get free Covid vaccine.

हमें आशा है कि आ…",188,0,970,2020-12-04 04:07:19
