post_title,post_body,post_author,post_id,comment_num,karma,link,post_date
India says may not need to vaccinate entire population to control COVID,,zkool,k5orhq,7,5,https://www.reuters.com/article/health-coronavirus-india-cases/india-says-may-not-need-to-vaccinate-entire-population-to-control-covid-idUSKBN28B3P8,2020-12-03 04:51:03
EU criticises 'hasty' UK approval of COVID-19 vaccine,,BritishGallifrey,k5ie9z,16,18,https://www.reuters.com/article/us-health-coronavirus-britain-eu-idUSKBN28C1B9,2020-12-02 23:04:42
UK becomes the first nation to approve Pfizer/BioNTech COVID-19 vaccine for widespread use,,Lost_Distribution546,k54kdh,14,146,https://www.bbc.co.uk/news/health-55145696?at_custom4=5F5C359E-346D-11EB-A0F7-87900EDC252D&at_custom3=%40BBCBreaking&at_custom1=%5Bpost+type%5D&at_custom2=twitter&at_campaign=64&at_medium=custom7,2020-12-02 09:11:55
Prince Harry: COVID-19 is what we get for messing with ‘Mother Nature’,,nimobo,k5e92g,60,16,https://nypost.com/2020/12/02/prince-harry-calls-covid-19-punishment-from-mother-nature/,2020-12-02 19:51:00
Interpol warns that COVID-19 vaccines could be targeted by criminals,,Superb_Instance_7921,k58ndl,4,41,https://www.reuters.com/article/health-coronavirus-interpol/interpol-warns-that-covid-19-vaccines-could-be-targeted-by-criminals-idUSFWN2II0HH,2020-12-02 14:51:29
Canada: US border measures to last until COVID is under control,,FloofSpider,k5dmrf,8,16,https://www.clickondetroit.com/news/world/2020/12/01/canada-us-border-measures-to-last-until-covid-is-under-control/?utm_source=fark&utm_medium=website&utm_content=link&ICID=ref_fark,2020-12-02 19:22:17
Pfizer/BioNTech vaccine: UK PM Boris Johnson says recreation not over in battle in opposition to COVID-19,,Kristen-ame,k60sqp,0,0,https://newsexpress.in/pfizer-biontech-vaccine-uk-pm-boris-johnson-says-recreation-not-over-in-battle-in-opposition-to-covid-19-world-news/,2020-12-03 18:44:56
Putin orders ‘large-scale’ COVID-19 vaccination in Russia,,Forsaken_Horror7593,k5hwun,0,9,https://apnews.com/article/europe-moscow-coronavirus-pandemic-vladimir-putin-europe-093e3ef365591e9eafde5874253b04cf,2020-12-02 22:42:03
Nepal’s female soldiers break taboos to tackle COVID crisis,,Otherwise-Step,k5ajh5,0,18,https://www.aljazeera.com/news/2020/12/1/nepals-female-soldiers-break-taboos-to-tackle-covid-crisis,2020-12-02 16:48:31
Putin orders Russia to begin mass COVID-19 vaccinations,,Technical-Kangaroo-5,k5dg2j,1,9,https://in.reuters.com/article/worldNews/idUSKBN28C21E,2020-12-02 19:13:24
"Italy's health minister says COVID vaccines to be free, distribution in Q1 2021",,Massimo24ore,k57d9g,7,35,https://www.reuters.com/article/health-coronavirus-italy/italys-health-minister-says-covid-vaccines-to-be-free-distribution-in-q1-2021-idINS8N2HE037,2020-12-02 13:11:02
Russia's Putin tells officials to start mass vaccinations against COVID-19 next week,,johnbradleypeele,k59wct,3,15,https://www.reuters.com/article/us-health-coronavirus-russia-putin/russias-putin-tells-officials-to-start-mass-vaccinations-against-covid-19-next-week-idUSKBN28C21E?il=0,2020-12-02 16:11:14
"WHO tightens guidelines on mask-wearing in COVID-19 areas. People living in areas with where COVID-19 is spreading should always wear masks in shops, workplaces and schools that lack adequate ventilation.",,LIS1050010,k57lix,4,27,https://uk.reuters.com/article/uk-health-coronavirus-who-masks/who-tightens-guidelines-on-mask-wearing-in-covid-19-areas-idUKKBN28C170?il=0,2020-12-02 13:30:21
Australian WHO investigator says China tensions won't get in the way of his probe into coronavirus COVID-19 origins,,SACBH,k56p1s,8,30,https://www.abc.net.au/news/2020-12-02/australian-who-investigator-says-china-tensions-wont-stop-probe/12942802,2020-12-02 12:13:07
Putin orders Russia to begin mass COVID-19 vaccinations,,Superb_Instance_7921,k5cvep,1,6,https://www.reuters.com/article/instant-article/idUSL1N2II1FA,2020-12-02 18:46:34
Russia tries to import COVID-19 drugs as deaths hit high,,GOR098,k5a9ed,7,6,https://news.abs-cbn.com/overseas/12/01/20/russia-tries-to-import-covid-19-drugs-as-deaths-hit-high,2020-12-02 16:32:43
"Russia says more than 100,000 people already vaccinated against COVID-19",,Persienu,k5be4y,3,6,https://in.reuters.com/article/health-coronavirus-russia-vaccine-murash/russia-says-more-than-100000-people-already-vaccinated-against-covid-19-idINKBN28C2CB?il=0,2020-12-02 17:34:31
Bolivia: Minister says to take toxic MMS bleach for COVID-19,,RabidGuillotine,k5b7sy,2,5,https://www.businessinsider.com/bolivia-minister-says-toxic-mms-bleach-for-covid-19-2020-12,2020-12-02 17:25:22
The UK has become the first Western country to grant emergency authorisation of the COVID-19 vaccine,,jamesovertail,k55oub,1,16,https://uk.finance.yahoo.com/news/uk-approves-bio-n-tech-and-pfizers-covid-19-vaccine-for-use-from-next-week-074939218.html,2020-12-02 10:44:24
EU criticises 'hasty' UK approval of COVID-19 vaccine,,PilotH,k59oks,3,6,https://www.reuters.com/article/health-coronavirus-britain-eu-idUSKBN28C12Q,2020-12-02 15:58:27
EU criticises ‘hasty’ UK approval of COVID-19 vaccine,,Majestic_Refuse,k5cm7q,0,5,https://www.aljazeera.com/news/2020/12/2/eu-criticises-hasty-uk-approval-of-covid-19-vaccine,2020-12-02 18:34:39
"COVID-19: Pfizer-BioNTech vaccine authorized to be used in UK, rollout begins subsequent week",,Kristen-ame,k5cgjn,0,3,https://newsexpress.in/covid-19-pfizer-biontech-vaccine-authorized-to-be-used-in-uk-rollout-begins-subsequent-week-world-news/,2020-12-02 18:27:08
COVID-19: UK approves use of Pfizer's coronavirus vaccine - rollout to begin next week,,nimobo,k5574e,0,16,https://news.sky.com/story/covid-19-uk-approves-use-of-pfizers-coronavirus-vaccine-12148786,2020-12-02 10:02:21
"UK approves Pfizer-BioNTech COVID-19 vaccine, first in the world",,Superb_Instance_7921,k56fvx,0,9,https://uk.reuters.com/article/uk-health-coronavirus-britain-vaccine/uk-approves-pfizer-biontech-vaccine-for-use-first-in-the-world-idUKKBN28C0OU,2020-12-02 11:50:42
"UK approves Pfizer-BioNTech COVID-19 vaccine, first in the world",,Luke_Hero,k56d3c,0,7,https://www.reuters.com/article/health-coronavirus-britain-vaccine/update-3-uk-approves-pfizer-biontech-covid-19-vaccine-first-in-the-world-idUSL8N2II10B,2020-12-02 11:43:41
"Pfizer-BioNTech say UK allows emergency use of their COVID-19 vaccine, world’s first backed by rigorous science",,Astronaut-Remote,k54sdh,1,9,https://apnews.com/article/public-health-europe-immunizations-united-kingdom-health-9760b61bb5c3dd570fe1ccf48902472d,2020-12-02 09:29:18
