post_title,post_body,comment_num,karma,link,post_date
"How to 'disappear' on Happiness Avenue in Beijing, was a performance staged by the artist Deng Yufeng, who was trying to demonstrate how difficult it was to dodge CCTV cameras in the Chinese capital.",,4,36,https://www.bbc.co.uk/news/technology-55053978,2020-11-25 13:51:52
Performance analysis of single board computer clusters,,1,5,https://www.sciencedirect.com/science/article/pii/S0167739X1833142X,2020-11-26 01:05:50
How Long Does It Take To Charge An Electric Car? : NPR,,3,3,https://www.npr.org/2020/11/24/938156943/nice-car-but-how-do-you-charge-that-thing-let-us-count-the-ways,2020-11-26 00:16:56
Zoom is lifting its 40-minute call limit for Thanksgiving,,2,13,https://www.androidpolice.com/2020/11/25/zoom-is-lifting-its-40-minute-call-limit-for-thanksgiving/,2020-11-25 16:58:00
Even Utah’s mysterious monolith may be no match for Google Earth,,16,35,https://www.theverge.com/2020/11/24/21656223/mysterious-utah-monolith-osint-google-earth-tracking,2020-11-25 11:42:33
Comcast Prepares to Screw Over Millions With Data Caps in 2021,,4198,47368,https://gizmodo.com/comcast-prepares-to-screw-over-millions-with-data-caps-1845741662?utm_campaign=Gizmodo&utm_content&utm_medium=SocialMarketing&utm_source=facebook&fbclid=IwAR1dCPA1NYTuF8Fo_PatWbicxLdgEl1KrmDCVWyDD-vJpolBdMZjxvO-qS4,2020-11-24 04:44:30
"Visa Wants to Buy Plaid, and With It, Transaction Data for Millions of People",,0,6,https://www.eff.org/deeplinks/2020/11/visa-wants-buy-plaid-and-it-transaction-data-millions-people,2020-11-25 20:06:01
France risks US wrath with 'digital tax' on tech groups' 2020 earnings,,3,9,https://www.france24.com/en/business/20201125-france-risks-us-wrath-with-digital-tax-on-tech-groups-2020-earnings,2020-11-25 16:32:29
This Company Wants to Put a Human-Size Hologram Booth in Your Living Room,,5,7,https://singularityhub.com/2020/11/25/this-company-wants-to-put-a-human-size-hologram-booth-in-your-living-room/,2020-11-25 17:30:41
Here's a look at how the different coronavirus vaccines work,,3,9,https://edition.cnn.com/2020/11/24/health/covid-vaccines-design-explained/index.html,2020-11-25 16:49:38
Google-backed Chinese trucking startup raises $1.7B - FreightWaves,,0,3,https://www.freightwaves.com/news/google-backed-full-truck-alliance-raises-17b,2020-11-25 20:40:08
"Google Pay kills website functionality, forcing people to use the new app",,8,3,https://www.androidpolice.com/2020/11/24/google-pay-kills-website-functionality-forcing-people-to-use-the-new-app/,2020-11-25 17:27:33
Apple's global security chief indicted for alleged bribery,,18,106,https://www.cnn.com/2020/11/23/tech/apple-thomas-moyer-bribery-indictment/index.html,2020-11-24 23:10:21
Comcast to impose home internet data cap of 1.2TB in more than a dozen US states next year,,1516,11128,https://www.theverge.com/2020/11/23/21591420/comcast-cap-data-1-2tb-home-users-internet-xfinity,2020-11-23 23:13:42
Let’s Stand Up for Home Hacking and Repair,,0,55,https://www.eff.org/deeplinks/2020/11/lets-stand-home-hacking-and-repair,2020-11-25 01:22:11
Twitter will restart public applications for verified users in 2021,,0,2,https://www.androidpolice.com/2020/11/24/twitter-will-restart-public-applications-for-verified-users-in-2021/,2020-11-25 17:25:43
"Facebook said it would ban Holocaust deniers. Instead, its algorithm provided a network for them",,3,63,https://themarkup.org/news/2020/11/24/facebook-ban-holocaust-deniers-antisemitism,2020-11-25 00:12:29
Your best 5 TV streaming device choices for 2020,,1,1,https://www.zdnet.com/article/best-streaming-device-2020-roku-amazon-fire-tv-apple-tv-chromecast/,2020-11-25 22:11:00
Twitter will begin warning you a tweet is misleading even if you're just liking it,,26,134,https://www.cnet.com/news/twitter-will-begin-warning-you-a-tweet-is-misleading-even-if-youre-just-liking-it/#ftag=CAD590a51e,2020-11-24 19:23:44
Will Parler Users Treat Its 'Glitch' That Hid Georgia Election Content The Same Way They Treated A Twitter Glitch?,,4,45,https://www.techdirt.com/articles/20201124/11503545766/will-parler-users-treat-glitch-that-hid-georgia-election-content-same-way-they-treated-twitter-glitch.shtml,2020-11-25 01:02:50
"Deutsche Bahn, Siemens launch hydrogen trains trial",,1,7,https://www.dw.com/en/deutsche-bahn-siemens-launch-hydrogen-trains-trial/a-55716107,2020-11-25 10:47:02
"""The European Union could produce enough batteries by 2025 to power its fast-growing fleet of electric vehicles without relying on imported cells""",,11,53,https://uk.reuters.com/article/eu-battery/eu-says-it-could-be-self-sufficient-in-electric-vehicle-batteries-by-2025-idUKKBN2841Z3,2020-11-24 23:36:43
What Facebook Fed the Baby Boomers,,26,79,https://www.nytimes.com/2020/11/24/opinion/facebook-disinformation-boomers.html,2020-11-24 21:14:34
Google Pay adds new fees for instant transfers,,1,2,https://www.androidpolice.com/2020/11/24/google-pay-adds-new-fees-for-instant-transfers/,2020-11-25 17:11:38
India bans another 43 Chinese apps as border tensions along LAC continue to simmer,,23,266,https://www.msn.com/en-in/money/technology/india-bans-another-43-chinese-apps-as-border-tensions-along-lac-continue-to-simmer/ar-BB1bjc5t,2020-11-24 14:27:19
Discord is close to closing a round that would value the company at up to $7B,,18,32,https://techcrunch.com/2020/11/24/discord-is-close-to-closing-a-round-that-would-value-the-company-at-up-to-7b/,2020-11-25 01:19:53
Artificial Intelligence in Health Care: COVID-Net Aids Triage,,0,0,https://www.itprotoday.com/artificial-intelligence/artificial-intelligence-health-care-covid-net-aids-triage,2020-11-25 18:29:40
No One Wants to Pick Up the Phone for an Unfamiliar Number—and It’s Hurting Contact Tracing,,35,45,https://slate.com/technology/2020/11/coronavirus-contact-tracing-robocalling.html,2020-11-24 21:24:14
Right-Wing Social Media Finalizes Its Divorce From Reality,,4917,32385,https://www.theatlantic.com/ideas/archive/2020/11/right-wing-social-media-finalizes-its-divorce-reality/617177/,2020-11-23 17:55:05
Elon Musk overtakes Bill Gates to become world’s second richest person behind Jeff Bezos,,95,87,https://www.theverge.com/2020/11/24/21612410/elon-musk-overtakes-bill-gates-to-become-worlds-second-richest-person-behind-jeff-bezos,2020-11-24 16:40:12
'Antiquated process': data regulator on obtaining Cambridge Analytica warrant. UK information commissioner calls for international approach to emerging threat,,1,38,https://www.theguardian.com/technology/2020/nov/24/antiquated-process-data-regulator-obtaining-cambridge-analytica-warrant,2020-11-24 20:38:35
Australia’s spy agencies caught collecting COVID-19 app data,,12,69,https://techcrunch.com/2020/11/24/australia-spy-agencies-covid-19-app-data/,2020-11-24 17:46:22
"Coal India to become net-zero, eyes 3.4 GW of solar",,0,0,https://renewablesnow.com/news/coal-india-to-become-net-zero-eyes-34-gw-of-solar-722051/,2020-11-25 16:26:06
"11,000 Call on Amazon to End War on Libraries",,0,33,https://www.fightforthefuture.org/news/2020-11-24-11000-call-on-amazon-to-end-war-on-libraries/,2020-11-24 20:56:32
Google wants you to complete simple tasks for hard cash in its new app [Task Mate],,6,12,https://thenextweb.com/plugged/2020/11/24/google-wants-you-to-complete-simple-tasks-for-hard-cash-in-its-new-app/amp/,2020-11-25 01:40:34
"Democrats press Facebook, Twitter on misinformation efforts ahead of Georgia runoff",,0,36,https://thehill.com/policy/technology/527323-democrats-press-facebook-twitter-on-misinformation-efforts-ahead-of-georgia,2020-11-24 19:29:44
Latest Version of TrickBot Employs Clever New Obfuscation Trick,,2,6,https://www.darkreading.com/vulnerabilities---threats/latest-version-of-trickbot-employs-clever-new-obfuscation-trick/d/d-id/1339537,2020-11-25 03:49:25
Tokyo Gas to Develop One of Japan’s Largest Offshore Wind Farms,,1,0,https://www.bnnbloomberg.ca/tokyo-gas-to-develop-one-of-japan-s-largest-offshore-wind-farms-1.1527517,2020-11-25 14:12:47
A solar-powered rocket might be our ticket to interstellar space - Researchers tapped by NASA just conducted a first test of a decades-old concept.,,0,32,https://arstechnica.com/science/2020/11/a-solar-powered-rocket-might-be-our-ticket-to-interstellar-space/,2020-11-24 18:27:07
Social media companies all starting to look the same,,4,11,https://www.axios.com/social-media-companies-look-same-tiktok-stories-snapchat-spotlight-2dd1da51-cf45-4f6b-a0ab-0db79f6b7793.html?utm_source=twitter&utm_medium=social&utm_campaign=organic&utm_content=1100,2020-11-24 23:46:08
"Facebook Is Going After Its Critics in the Name of Privacy - The company wants to shut down an academic study of political ad targeting, just as it prepares to reinstate targeted political ads.",,367,11094,https://www.wired.com/story/facebook-is-going-after-its-critics-in-the-name-of-privacy/,2020-11-23 12:31:53
"WhiteHat Jr Bug Exposed Data of 2.8 Lakh Students, Mostly Minors",,10,40,https://www.thequint.com/cyber/whitehatjr-bug-exposed-personal-data-of-28-lakh-students-karan-bajaj,2020-11-24 17:12:08
Apple's security chief charged with bribing police officers with iPads for gun licenses.,,25,119,https://news.sky.com/story/apples-security-chief-charged-with-bribing-police-officers-with-ipads-for-gun-licenses-12140750,2020-11-24 10:05:04
All Clear for cell-based: Indian firm pilots clean chicken mince with focus on price parity and acceptability,,1,0,https://www.foodnavigator-asia.com/Article/2020/11/17/All-Clear-for-cell-based-Indian-firm-pilots-clean-chicken-mince-with-focus-on-price-parity-and-acceptability?s=09,2020-11-25 17:48:32
LA to launch first 'Transportation Technology Innovation Zone',,2,13,https://archinect.com/news/article/150238582/la-to-launch-first-transportation-technology-innovation-zone,2020-11-24 21:49:09
"U.S. senators urge Facebook, Twitter for tighter checks before Georgia runoff election",,1,10,https://www.reuters.com/article/usa-election-georgia-social-media/u-s-senators-urge-facebook-twitter-for-tighter-checks-before-georgia-runoff-election-idUSKBN2842RO?rpc=401&,2020-11-24 20:36:30
GPS rules everything. And it's getting a big upgrade,,7,26,https://www.cnet.com/features/gps-rules-everything-and-its-getting-a-big-upgrade/,2020-11-24 16:34:57
Esoteric metrics based on analyzing extensive data about employee activities has been mostly the domain of fringe software vendors. Now it's built into MS 365.,,0,6,https://news.ycombinator.com/item?id=25198713,2020-11-24 23:31:54
